套压,油压,日产液量,日产油量,日产气量
0.12,0.1,11.5,5.9,911
0.1,0.1,11.5,6.1,947
0.1,0.1,11.5,6.2,958
0.09,0.09,11.5,6.1,948
0.09,0.09,11.5,6.1,944
0.09,0.09,11.5,6.2,950
0.09,0.09,11.5,6.1,940
0.09,0.09,11.5,6.1,945
0.09,0.09,11.5,6,932
0.11,0.11,11.5,6.1,934
0.09,0.09,11.5,6,931
0.09,0.09,11.5,6,930
0.09,0.09,11.5,6.2,964
0.09,0.09,11.5,6.2,953
0.1,0.1,10.5,5.7,885
0.12,0.12,10.5,5.7,879
0.12,0.12,10.5,5.7,873
0.12,0.12,10.5,5.7,882
0.1,0.1,10.5,5.7,873
0.12,0.12,10.5,5.6,872
0.17,0.17,10.5,5.5,850
0.17,0.17,10.5,5.5,849
0.17,0.17,10.5,5.5,856
0.08,0.08,10.5,5.5,851
0.07,0.07,10.5,5.5,854
0.07,0.07,10.5,5.7,882
0.08,0.08,10.5,5.6,870
0.07,0.07,10.5,5.6,870
0.07,0.07,10.5,5.6,870
0.18,0.18,10.5,5.7,881
0.18,0.18,10.5,5.7,881
0.18,0.18,10.5,5.7,881
0.07,0.07,10.5,5.6,863
0.05,0.05,10.5,5.6,863
0.05,0.05,10.5,5.6,863
0.06,0.06,10.5,5.7,874
0.05,0.05,10.5,5.7,874
0.06,0.06,10.5,5.7,874
0.06,0.06,10.5,5.6,866
0.06,0.06,10.5,5.6,866
0.08,0.08,10.5,5.6,866
0.09,0.09,10.5,5.5,855
0.09,0.09,10.5,5.5,855
0.08,0.08,10.5,5.5,855
0.09,0.09,10.5,5.6,862
0.07,0.07,10.5,5.6,862
0.07,0.07,10.5,5.6,862
0.07,0.07,10.5,5.6,869
0.07,0.07,10.5,5.6,869
0.07,0.07,10.5,5.6,869
0.07,0.07,10.5,5.6,863
0.1,0.1,10.5,5.6,863
0.1,0.1,10.5,5.6,863
0.1,0.1,10.5,5.7,873
0.1,0.1,10.5,5.7,873
0.1,0.1,8,4.1,634
0.08,0.08,8,4,623
0.08,0.08,8,4,625
0.08,0.08,7,3.3,514
0.08,0.08,7,3.2,490
0.08,0.08,7,2.9,447
0.12,0.12,7,3.2,496
0.1,0.1,7,3.1,489
0.12,0.12,7,3.1,484
0.09,0.09,7,3.1,483
0.12,0.12,7,3.1,485
0.11,0.11,7,3.2,491
0.12,0.12,7,3.1,486
0.12,0.12,7,3.1,486
0.11,0.11,7,3.1,485
0.08,0.08,7,3.1,487
0,0.08,7,3.1,489
0.12,0.12,7,3.1,486
0.1,0.1,7,3.1,486
0.12,0.12,7,3.1,486
