油层平均厚度,地面原油粘度,地面密度,凝固点,压裂段数,簇数,最小破裂压力,最大破裂压力,加二氧化碳,加二氧化碳段数,用液,加砂量,纤维,井编号
57.2,11.85,0.8544,32,30,104,50.3,90.3,5708,30,80253,3763,4588.5,A1
1,35.9,0.9237,25,2,10,46.3,53.9,320,2,2382,65.4,309.8,A26
0.96,82.5,0.9426,42,3,13,65,66.4,670,3,5622.23,390,972,B124
1.05,76.4,0.9088,41,5,19,60,70.2,997,5,9169.4,610.4,1066.4,B590_1
1.05,76.4,0.9088,41,5,19,60,70.2,997,5,9169.4,610.4,1066.4,B590_2
61.9,36,0.8855,31,33,154,73.23,89.5,4000,30,76341,518.8,1267.2,C1
63.74,24.4,0.886,30.6,31,120,77,94.7,5350,28,73166,4300,3359.2,B1
